source,source_type,survey,case,DRIPreV3,DRIPostV3,provider,model
claude-3-5-sonnet-20241022,llm,forestera,Forest Stakeholder,0.4720097640502765,0.5749932764462168,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,fremantle,Fremantle,0.17619800388705098,0.16437797604230978,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,swiss_health,CA,0.402042779033732,0.36894867653355745,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,uppsala_speaks,Activate,0.5015762977857638,0.5698431396685992,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,uppsala_speaks,Standard,0.20315219511164107,0.4403856686741166,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,valsamoggia,Valsamoggia,0.38811447710576097,0.383310787962423,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,zh_uster,USTER,0.5727789615446384,0.5435265755251707,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,zh_winterthur,Winterthur,0.3381599279751244,0.5473340751072555,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,zukunft,Zukunft,0.5610024256354014,0.5729193027964157,anthropic,claude-3-5-sonnet-20241022
claude-3-7-sonnet-20250219,llm,acp,Citizen Parliamentarian,0.12666498031501217,0.07334366019278482,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,auscj,HGE Deliberative Group,-0.7752727877650908,-0.6446630234005462,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,bep,BEP,0.5483172343175564,0.38593123983689126,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,biobanking_mayo_ubc,Mayo,0.3035284775660978,0.288219121269954,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,biobanking_mayo_ubc,UBC Bio,0.3826284586221702,0.18844994345114757,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,biobanking_wa,WA Citizens,0.4767425320211447,0.5082403517207753,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,biobanking_wa,WA Stakeholder,0.47651532344066094,0.42797635772604586,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,ccps,CCPS ACT Deliberative,0.5247953167672466,0.6388050522237505,anthropic,claude-3-7-sonnet-20250219
claude-3-7-sonnet-20250219,llm,ds_aargau,Aargau,0.23404095342236975,0.15177837434174957,anthropic,claude-3-7-sonnet-20250219
